datetime,time,symbol,spot,zero_dte_call_premium,zero_dte_put_premium,zero_dte_net_premium,all_exp_call_premium,all_exp_put_premium,all_exp_net_premium,zero_dte_rows,all_exp_rows
2026-05-13 17:42:55,17:42:55,SPX,7444.25,1811425622.0,174547871.0,1636877751.0,4031393574.0,462269946.0,3569123628.0,322,1976
2026-05-13 17:43:09,17:43:09,SPX,7444.25,1811425622.0,174547871.0,1636877751.0,4031393574.0,462269946.0,3569123628.0,322,1976
2026-05-13 17:43:24,17:43:24,SPX,7444.25,1811425622.0,174547871.0,1636877751.0,4031393574.0,462269946.0,3569123628.0,322,1976
2026-05-13 17:43:39,17:43:39,SPX,7444.25,1811425622.0,174547871.0,1636877751.0,4031393574.0,462269946.0,3569123628.0,322,1976
2026-05-13 17:43:54,17:43:54,SPX,7444.25,1811425622.0,174547871.0,1636877751.0,4031393574.0,462269946.0,3569123628.0,322,1976
2026-05-13 17:44:09,17:44:09,SPX,7444.25,1811425622.0,174547871.0,1636877751.0,4031393574.0,462269946.0,3569123628.0,322,1976
2026-05-13 17:44:24,17:44:24,SPX,7444.25,1811425622.0,174547871.0,1636877751.0,4031393574.0,462269946.0,3569123628.0,322,1976
2026-05-13 17:44:38,17:44:38,SPX,7444.25,1811425622.0,174547871.0,1636877751.0,4031393574.0,462269946.0,3569123628.0,322,1976
2026-05-13 17:44:53,17:44:53,SPX,7444.25,1811425622.0,174547871.0,1636877751.0,4031393574.0,462269946.0,3569123628.0,322,1976
2026-05-13 17:45:55,17:45:55,SPX,7444.25,1811425622.0,174547871.0,1636877751.0,4031393574.0,462269946.0,3569123628.0,322,1976
2026-05-14 12:06:40,12:06:40,SPX,7497.37,757598140.0,336395310.0,421202830.0,1260198874.0,534234960.0,725963914.0,80,480
2026-05-14 12:06:53,12:06:53,SPX,7496.84,753704274.0,339658494.0,414045780.0,1254497071.0,540061984.0,714435087.0,80,480
